Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,Go_ID,Go_Name,Go_Homepage,Go_Repo,PHP_ID,PHP_Name,PHP_Homepage,PHP_Repo
github.com/qy-upup/ai-minecraft-skin,168666,ai-minecraft-skin,https://supermaker.ai/image/ai-minecraft-skin/,https://github.com/qy-upup/ai-minecraft-skin,2226462,github.com/qy-upup/ai-minecraft-skin,https://github.com/qy-upup/ai-minecraft-skin,https://github.com/qy-upup/ai-minecraft-skin,309171,qy-upup/ai-minecraft-skin,,https://github.com/qy-upup/ai-minecraft-skin
github.com/qy-upup/sm-ai-pose-generator,188989,sm-ai-pose-generator,https://supermaker.ai/image/ai-pose-generator/,https://github.com/qy-upup/sm-ai-pose-generator,2226475,github.com/qy-upup/sm-ai-pose-generator,https://github.com/qy-upup/sm-ai-pose-generator,https://github.com/qy-upup/sm-ai-pose-generator,309187,qy-upup/sm-ai-pose-generator,,https://github.com/qy-upup/sm-ai-pose-generator
github.com/qy-upup/supermaker-ai-image-master,211004,supermaker-ai-image-master,https://supermaker.ai/image/,https://github.com/qy-upup/supermaker-ai-image-master,2220542,github.com/qy-upup/supermaker-ai-image-master,https://github.com/qy-upup/supermaker-ai-image-master,https://github.com/qy-upup/supermaker-ai-image-master,364041,supermaker/ai-image-master,,https://github.com/qy-upup/supermaker-ai-image-master
github.com/qy-upup/supermaker-ai-video-downloader,211007,supermaker-ai-video-downloader,https://supermaker.ai/video/,https://github.com/qy-upup/supermaker-ai-video-downloader,2220543,github.com/qy-upup/supermaker-ai-video-downloader,https://github.com/qy-upup/supermaker-ai-video-downloader,https://github.com/qy-upup/supermaker-ai-video-downloader,364042,supermaker/ai-video-downloader,,https://github.com/qy-upup/supermaker-ai-video-downloader
