Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
github.com/tailix/libkernaux,26485,kernaux,https://github.com/tailix/libkernaux/tree/master/bindings/rust,https://github.com/tailix/libkernaux/tree/master/bindings/rust,305769,kernaux,https://github.com/tailix/libkernaux,https://github.com/tailix/libkernaux,85922,kernaux,https://github.com/tailix/libkernaux/tree/master/bindings/ruby,https://github.com/tailix/libkernaux/tree/master/bindings/ruby
github.com/asg017/sqlite-xsv,99010,sqlite-xsv,https://github.com/asg017/sqlite-xsv,https://github.com/asg017/sqlite-xsv,614348,sqlite-xsv,https://github.com/asg017/sqlite-xsv,https://github.com/asg017/sqlite-xsv,160727,sqlite-xsv,https://github.com/asg017/sqlite-xsv,https://github.com/asg017/sqlite-xsv
