name,root_url,ecosystems,separator,found_repos
blackscholes-rust,https://github.com/hayden4r4/blackscholes-rust,"Crates, PyPI",-,"blackscholes-python, blackscholes-rust"
qcs-api-client-rust,https://github.com/rigetti/qcs-api-client-rust,"Crates, PyPI",-,"qcs-api-client-python, qcs-api-client-rust"
flashtext2-rs,https://github.com/shner-elmo/flashtext2-rs,"Crates, PyPI",-,"flashtext2-go, flashtext2-rs"
lindera-python,https://github.com/lindera/lindera-python,"Crates, PyPI",-,"lindera-java, lindera-python, lindera-rb"
qcs-sdk-rust,https://github.com/rigetti/qcs-sdk-rust,"Crates, PyPI",-,"qcs-sdk-c, qcs-sdk-rust"
deadnews-template-rust,https://github.com/deadnews/deadnews-template-rust,"Crates, PyPI",-,"deadnews-template-go, deadnews-template-python, deadnews-template-rust, deadnews-template-typescript"
norfair-rs,https://github.com/nmichlo/norfair-rs,"Crates, PyPI",-,"norfair-go, norfair-rs"
pyroscope-rs,https://github.com/pyroscope-io/pyroscope-rs,"Crates, Ruby",-,"pyroscope-python, pyroscope-ruby"
hypothesis,https://github.com/hypothesisworks/hypothesis,"Crates, Ruby",-,"hypothesis-java, hypothesis-ruby"
grpc-java,https://github.com/grpc/grpc-java,"Go, Maven",-,"grpc-dart, grpc-dotnet, grpc-go, grpc-haskell, grpc-java, grpc-kotlin, grpc-node, grpc-php, grpc-swift"
fabric-chaincode-java,https://github.com/hyperledger/fabric-chaincode-java,"Go, Maven",-,"fabric-chaincode-go, fabric-chaincode-java, fabric-chaincode-node"
client_java,https://github.com/prometheus/client_java,"Go, Maven",_,"client_golang, client_java, client_python, client_ruby, client_rust"
asherah,https://github.com/godaddy/asherah,"Go, Maven",-,"asherah-java, asherah-node, asherah-python, asherah-ruby"
conjure-go,https://github.com/palantir/conjure-go,"Go, Maven",-,"conjure-go, conjure-java, conjure-python, conjure-rust, conjure-typescript"
provenance,https://github.com/provenance-io/provenance,"Go, Maven",-,"provenance-dart, provenance-rs"
grpc-kotlin,https://github.com/grpc/grpc-kotlin,"Go, Maven",-,"grpc-dart, grpc-dotnet, grpc-go, grpc-haskell, grpc-java, grpc-kotlin, grpc-node, grpc-php, grpc-swift"
dd-trace-java,https://github.com/datadog/dd-trace-java,"Go, Maven",-,"dd-trace-cpp, dd-trace-dotnet, dd-trace-go, dd-trace-java, dd-trace-js, dd-trace-php, dd-trace-py, dd-trace-rb, dd-trace-rs"
gauge-java,https://github.com/getgauge/gauge-java,"Go, Maven",-,"gauge-csharp, gauge-dotnet, gauge-java, gauge-js, gauge-python, gauge-ruby, gauge-ts"
sonar-php,https://github.com/sonarsource/sonar-php,"Go, Maven",-,"sonar-dotnet, sonar-go, sonar-java, sonar-kotlin, sonar-php, sonar-python, sonar-ruby, sonar-rust, sonar-scala"
