Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo
github.com/freepeak/ktme,209227,ktme,https://github.com/FreePeak/ktme,https://github.com/FreePeak/ktme,2366356,ktme-cli,https://github.com/FreePeak/ktme,git+https://github.com/FreePeak/ktme.git
github.com/hypertekorg/hyperstack,218164,hyperstack,,https://github.com/HyperTekOrg/hyperstack.git,2190308,hyperstack-typescript,https://github.com/HyperTekOrg/hyperstack.git#readme,git+https://github.com/HyperTekOrg/hyperstack.git
github.com/flo-audio/flo,209855,reflo,https://github.com/flo-audio/flo,https://github.com/flo-audio/flo,393211,@flo-audio/reflo,https://github.com/flo-audio/flo,git+https://github.com/flo-audio/flo.git
github.com/dancode-188/synckit,209472,synckit-core,,https://github.com/Dancode-188/synckit,1064447,@synckit-js/server,https://github.com/Dancode-188/synckit#readme,git+https://github.com/Dancode-188/synckit.git
github.com/turbofuro/turbofuro,211733,turbofuro_worker,https://turbofuro.com,https://github.com/turbofuro/turbofuro,1124538,@turbofuro/tel-wasm,https://github.com/turbofuro/turbofuro#readme,git+https://github.com/turbofuro/turbofuro.git
github.com/byrizki/jsoneval-rs,209901,json-eval-rs,,https://github.com/byrizki/jsoneval-rs,586646,@json-eval-rs/webcore,https://github.com/byrizki/jsoneval-rs#readme,git+https://github.com/byrizki/jsoneval-rs.git
github.com/razein97/tauri-plugin-i18n,210020,tauri-plugin-i18n,,https://github.com/razein97/tauri-plugin-i18n,905755,@razein97/tauri-plugin-i18n,https://github.com/razein97/tauri-plugin-i18n#readme,git+https://github.com/razein97/tauri-plugin-i18n.git
github.com/nini22p/tauri-plugin-libmpv,211748,tauri-plugin-libmpv,,https://github.com/nini22P/tauri-plugin-libmpv,3346800,tauri-plugin-libmpv-api,https://github.com/nini22P/tauri-plugin-libmpv#readme,git+https://github.com/nini22P/tauri-plugin-libmpv.git
github.com/dig-network/datalayer-driver,210373,datalayer-driver,https://github.com/DIG-Network/DataLayer-Driver,https://github.com/DIG-Network/DataLayer-Driver,300592,@dignetwork/datalayer-driver-win32-x64-msvc,https://github.com/DIG-Network/DataLayer-Driver#readme,git+https://github.com/DIG-Network/DataLayer-Driver.git
github.com/kane50613/takumi,210472,takumi,https://takumi.kane.tw,https://github.com/kane50613/takumi,1069756,@takumi-rs/wasm,https://github.com/kane50613/takumi#readme,git+https://github.com/kane50613/takumi.git
github.com/matte1782/edgevec,211054,edgevec,,https://github.com/matte1782/edgevec,1818706,edgevec,https://github.com/matte1782/edgevec#readme,git+https://github.com/matte1782/edgevec.git
github.com/rk1pf/conversions_rs,211523,conversions_rs,https://github.com/RK1PF/conversions_rs,https://github.com/RK1PF/conversions_rs,1625750,conversions_rs,https://github.com/RK1PF/conversions_rs,git+https://github.com/RK1PF/conversions_rs.git
github.com/devrosch/sciformats,211687,sciformats,https://sciformats.org/,https://github.com/devrosch/sciformats,3153960,sciformats_nodejs,https://sciformats.org/,git+https://github.com/devrosch/sciformats.git
github.com/dprint/dprint-plugin-typescript,211768,dprint-plugin-typescript,https://github.com/dprint/dprint-plugin-typescript,https://github.com/dprint/dprint-plugin-typescript,313613,@dprint/typescript,https://github.com/dprint/dprint-plugin-typescript#readme,git+https://github.com/dprint/dprint-plugin-typescript.git
github.com/steph-crown/fintrack,212218,fintrack,https://github.com/steph-crown/fintrack/readme.md,https://github.com/steph-crown/fintrack,1953620,fintrack,https://github.com/steph-crown/fintrack/readme.md,git+https://github.com/steph-crown/fintrack.git
github.com/potassco/tree-sitter-clingo,212237,tree-sitter-clingo,,https://github.com/potassco/tree-sitter-clingo,871260,@potassco/tree-sitter-clingo-test,https://github.com/potassco/tree-sitter-clingo#readme,git+https://github.com/potassco/tree-sitter-clingo.git
github.com/ahonn/tauri-plugin-preferences,212269,tauri-plugin-preferences,https://github.com/ahonn/tauri-plugin-preferences,https://github.com/ahonn/tauri-plugin-preferences,3346837,tauri-plugin-preferences-api,https://github.com/ahonn/tauri-plugin-preferences#readme,git+https://github.com/ahonn/tauri-plugin-preferences.git
github.com/uvenkatateja/polyrpc,212284,polyrpc-sentinel,,https://github.com/uvenkatateja/polyrpc,2866423,polyrpc,https://polyrpc.vercel.app,git+https://github.com/uvenkatateja/polyrpc.git
github.com/cpp-linter/cpp-linter-rs,212575,cpp-linter,https://cpp-linter.github.io/cpp-linter-rs,https://github.com/cpp-linter/cpp-linter-rs,248223,@cpp-linter/cpp-linter-win32-ia32-msvc,https://github.com/cpp-linter/cpp-linter-rs#readme,git+https://github.com/cpp-linter/cpp-linter-rs.git
github.com/open-s2/open-vector-tile,212719,open-vector-tile,https://github.com/Open-S2/open-vector-tile,https://github.com/Open-S2/open-vector-tile,2778177,open-vector-tile,https://github.com/Open-S2/open-vector-tile#readme,git+https://github.com/Open-S2/open-vector-tile.git
