Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
181114,splintr,https://github.com/ml-rust/splintr,https://github.com/ml-rust/splintr,611443,splintr-rs,https://github.com/ml-rust/splintr,https://github.com/ml-rust/splintr
181185,phylotree,https://github.com/lucblassel/phylotree-rs,https://github.com/lucblassel/phylotree-rs,459291,phylotree,https://pypi.org/project/phylotree/,https://github.com/lucblassel/phylotree-rs
181199,simplersble,,https://github.com/simpleble/simpleble,594039,simplepyble,https://github.com/simpleble/simpleble,https://github.com/simpleble/simpleble
181298,rdb,http://rdb.fnordig.de/,https://github.com/badboy/rdb-rs,547363,rdb-py,http://rdb.fnordig.de/,https://github.com/badboy/rdb-rs
181474,teleddns,https://github.com/tmshlvck/teleddns,https://github.com/tmshlvck/teleddns,638356,teleddns,https://www.telephant.eu/,https://github.com/tmshlvck/teleddns
185207,chess-corners,https://vitalyvorobyev.github.io/chess-corners-rs,https://github.com/VitalyVorobyev/chess-corners-rs,89719,chess-corners,https://pypi.org/project/chess-corners/,https://github.com/VitalyVorobyev/chess-corners-rs
181837,sketch_oxide,,https://github.com/yfedoseev/sketch_oxide,596857,sketch-oxide,https://pypi.org/project/sketch-oxide/,https://github.com/yfedoseev/sketch_oxide
181954,telelog,https://github.com/vedant-asati03/telelog,https://github.com/vedant-asati03/telelog,638667,telelog-python,https://github.com/vedant-asati03/telelog,https://github.com/vedant-asati03/telelog
181971,annembed,,https://github.com/jean-pierreBoth/annembed,24412,annembed-rs,https://pypi.org/project/annembed-rs/,https://github.com/jean-pierreBoth/annembed
182427,relay-bp,,https://github.com/trmue/relay,552117,relay-bp,https://pypi.org/project/relay-bp/,https://github.com/trmue/relay
191121,gitkat,,https://github.com/Aureuma/GitKat,242390,gitkat,https://pypi.org/project/gitkat/,https://github.com/Aureuma/GitKat
182454,blobtk,https://github.com/blobtoolkit/blobtk,https://github.com/blobtoolkit/blobtk,62608,blobtk,https://github.com/blobtoolkit/blobtk,https://github.com/blobtoolkit/blobtk
182595,json_partial,https://crates.io/crates/json_partial,https://github.com/TwistingTwists/json_partial,298317,json_partial_python,https://pypi.org/project/json_partial_python/,https://github.com/TwistingTwists/json_partial
182606,tiny-solver,https://github.com/powei-lin/tiny-solver-rs,https://github.com/powei-lin/tiny-solver-rs,652459,tiny-solver,https://github.com/powei-lin/tiny-solver-rs,https://github.com/powei-lin/tiny-solver-rs
182701,hope_core,,https://github.com/silentnoisehun/Hope_Genome,267047,hope-genome,https://pypi.org/project/hope-genome/,https://github.com/silentnoisehun/Hope_Genome
