Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PHP_ID,PHP_Name,PHP_Homepage,PHP_Repo
github.com/williamdes/mariadb-mysql-kbs,70775,mariadb-mysql-kbs,https://github.com/williamdes/mariadb-mysql-kbs/tree/v1.3.0#readme,https://github.com/williamdes/mariadb-mysql-kbs,2484449,mariadb-mysql-kbs,https://github.com/williamdes/mariadb-mysql-kbs#readme,git+https://github.com/williamdes/mariadb-mysql-kbs.git,412026,williamdes/mariadb-mysql-kbs,,https://github.com/williamdes/mariadb-mysql-kbs
github.com/scottbedard/hexchess,208540,hexchess,,https://github.com/scottbedard/hexchess,138485,@bedard/hexchess-engine,https://github.com/scottbedard/hexchess#readme,git+https://github.com/scottbedard/hexchess.git,40434,bedard/hexchess,,https://github.com/scottbedard/hexchess
